ESCOURI,ID,UUIDHISTORY,CODE,PREFERREDLABEL,DESCRIPTION
http://data.europa.eu/esco/isced-f/0900,key_17692,2f2c81af-a808-4394-beae-e8a1fed6b60f,,zdravotnictví a sociální péče dále nedefinované,
http://data.europa.eu/esco/isced-f/091,key_17693,73b6c8ed-920b-4a6d-ae28-64ee15fa8116,,zdravotnictví,
http://data.europa.eu/esco/isced-f/0910,key_17694,79e6eedc-bab4-4ace-a2bd-ed3ef7aa4c30,,zdravotnictví dále nedefinované,
http://data.europa.eu/esco/isced-f/0911,key_17695,2aee394d-f9f4-4c1e-a26d-ebb39a7a515c,,stomatologie,
http://data.europa.eu/esco/isced-f/0912,key_17696,d7dcb905-b205-4009-be9c-5e6c74bd81c2,,humánní medicína,
http://data.europa.eu/esco/isced-f/0913,key_17697,b252e6a0-f8f8-4f01-b2bf-ccf6cd98e17c,,ošetřovatelství a porodní asistentství,
http://data.europa.eu/esco/isced-f/0914,key_17698,24150160-eaaa-4778-83c2-a7b9c01e7de2,,lékařská diagnostika a léčebná technika,
http://data.europa.eu/esco/isced-f/0915,key_17699,4753813e-ab70-4485-ac26-4a7f2b9d3968,,terapie a rehabilitace,
http://data.europa.eu/esco/isced-f/0916,key_17700,29bac0d0-283b-4bed-93fa-4da0492cf40b,,farmacie,
http://data.europa.eu/esco/isced-f/0917,key_17701,462843f8-92ca-4df7-86ed-6bc75a00e0e0,,tradiční a alternativní medicína a terapie,
http://data.europa.eu/esco/isced-f/0919,key_17702,44828369-106d-4df3-89e8-14480b0f3857,,zdravotnictví jinde neklasifikované,
http://data.europa.eu/esco/isced-f/092,key_17703,e9f2ffbc-ed03-4c11-ab3f-ce59a5827721,,sociální péče,
http://data.europa.eu/esco/isced-f/0920,key_17704,e58b4690-c566-42ed-9641-20447b4a6bcf,,sociální péče dále nedefinovaná,
http://data.europa.eu/esco/isced-f/0921,key_17705,134b6792-8570-440f-8f8d-044d7d72f75a,,péče o starší a zdravotně postižené osoby,
http://data.europa.eu/esco/isced-f/0922,key_17706,3ccc4d6b-eacf-49ce-9de6-e4b9f958ba95,,péče o děti a mládež,
http://data.europa.eu/esco/isced-f/0923,key_17707,99b7233f-0084-4f39-a33a-a612d962d130,,sociální péče a poradenství,
http://data.europa.eu/esco/isced-f/0929,key_17708,50746e26-15e4-4cb1-a7e8-0c02d6a48d96,,sociální péče jinde neklasifikovaná,
http://data.europa.eu/esco/isced-f/098,key_17709,cc279361-9745-44a1-9ce7-4d0f0c7449d1,,interdisciplinární programy a kvalifikace zahrnující zdravotnictví a sociální péči,
http://data.europa.eu/esco/isced-f/0988,key_17710,43ce5efa-6c00-41c1-9232-a06434d20d51,,interdisciplinární programy a kvalifikace zahrnující zdravotnictví a sociální péči,
